,US Equities,EAFE Equities,EM Equities,Leveraged Treasuries,Corp Bonds,TIPS(backfilled),Real Estate,TSMOMPos,T-bill
US Equities,0.0036597579869576944,0.0032906998326110337,0.004235516938614252,-0.00030086376649472106,0.00046527551461525516,0.0002962150854445384,0.004918337443944085,-0.0005754619441191218,-7.9366592852783e-06
EAFE Equities,0.0032906998326110337,0.0044573294706570345,0.004667466484429278,-4.961574585139847e-05,0.0005832009094223128,0.00038225508697920137,0.004676399412385,-0.00030787536890012745,1.8424435489099892e-05
EM Equities,0.004235516938614252,0.004667466484429279,0.0075411507117149465,-0.00045486025668847155,0.0007879190523522346,0.0004370643106305672,0.005277768697108597,-0.0007266018504842541,-5.1011592912745126e-06
Leveraged Treasuries,-0.00030086376649472106,-4.961574585139844e-05,-0.00045486025668847155,0.0017351483129308517,0.0005885265838831498,0.0004189763972678354,-0.0001989882016283767,7.220993559080174e-05,0.00011003460445717386
Corp Bonds,0.0004652755146152551,0.0005832009094223128,0.0007879190523522345,0.0005885265838831498,0.000562926590512833,0.0003760774667018434,0.0007526636955054018,-8.345829856596481e-05,5.97577549475596e-05
TIPS(backfilled),0.00029621508544453834,0.0003822550869792014,0.00043706431063056714,0.0004189763972678354,0.0003760774667018434,0.000452028441183192,0.0006694238357776325,-4.286994228677816e-05,1.3375947253737448e-05
Real Estate,0.004918337443944085,0.004676399412385,0.005277768697108597,-0.00019898820162837663,0.0007526636955054018,0.0006694238357776325,0.011380921243312256,-0.00015028265180751119,-3.850197904491695e-05
TSMOMPos,-0.0005754619441191218,-0.0003078753689001275,-0.0007266018504842541,7.220993559080173e-05,-8.345829856596481e-05,-4.286994228677816e-05,-0.00015028265180751119,0.0006290590160349869,3.566922383267446e-06
T-bill,-7.93665928527831e-06,1.8424435489099895e-05,-5.101159291274506e-06,0.00011003460445717383,5.97577549475596e-05,1.3375947253737448e-05,-3.850197904491697e-05,3.566922383267446e-06,3.283143796112567e-05
